open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1503009000000,305.62,310.39,305.62,310.39,29.43364,1503009299999,8997.1638652,20,20.05269,6130.1579262,0
1503009300000,310.39,310.39,310.39,310.39,15.83643,1503009599999,4915.4695077,14,15.83643,4915.4695077,0
1503009600000,310.39,310.39,310.39,310.39,31.11515,1503009899999,9657.8314085,20,31.11515,9657.8314085,0
1503009900000,310.39,310.39,310.39,310.39,10.76067,1503010199999,3340.0043613,12,10.76067,3340.0043613,0
1503010200000,310.39,310.69,310.39,310.69,23.05859,1503010499999,7157.6300861,19,19.10397,5930.1012483,0
1503010500000,310.74,310.74,303.59,306.74,74.16931,1503010799999,22716.8296318,16,70.22842,21519.4825327,0
1503010800000,306.74,306.74,306.74,306.74,18.1249,1503011099999,5559.631826,18,17.07128,5236.4444272,0
1503011100000,306.74,310.74,306.74,310.74,14.20762,1503011399999,4360.0814678,21,13.19506,4049.4302694,0
1503011400000,310.74,310.74,310.74,310.74,3.61014,1503011699999,1121.8149036,14,3.61014,1121.8149036,0
1503011700000,310.74,310.74,310.74,310.74,1.85005,1503011999999,574.884537,16,1.85005,574.884537,0
1503012000000,310.74,310.85,303.22,303.22,77.77323,1503012299999,23844.4085614,31,73.99067,22669.0188552,0
1503012300000,303.02,303.02,303.02,303.02,9.38119,1503012599999,2842.6881938,24,9.38119,2842.6881938,0
1503012600000,303.02,304.22,302.07,304.22,36.38911,1503012899999,11052.3054702,24,30.90565,9390.74594,0
1503012900000,302.07,304.47,302.07,304.47,12.86129,1503013199999,3887.7133023,9,11.91963,3603.2660661,0
1503013200000,304.47,304.47,304.47,304.47,4.12508,1503013499999,1255.9631076,10,1.26517,385.2063099,0
1503013500000,304.47,306.2,304.47,306.2,27.35923,1503013799999,8344.5522159,18,23.74018,7242.4588574,0
1503013800000,306.2,306.2,302.0,302.0,16.36513,1503014099999,4947.466172,24,1.98473,604.585372,0
1503014100000,302.0,306.2,302.0,302.0,7.55923,1503014399999,2302.069196,12,6.752,2058.285736,0
1503014400000,302.0,306.2,300.17,300.17,60.93614,1503014699999,18485.559977,17,55.1444,16715.644127,0
1503014700000,300.17,302.39,300.17,302.39,49.06102,1503014999999,14733.5656468,25,45.13101,13553.8945451,0
1503015000000,302.39,302.39,302.39,302.39,8.74175,1503015299999,2643.4177825,15,8.74175,2643.4177825,0
1503015300000,302.39,303.1,302.39,303.1,4.23535,1503015599999,1282.8357037,13,3.45687,1047.198079,0
1503015600000,303.62,303.62,303.62,303.62,16.89629,1503015899999,5130.0515698,16,16.89629,5130.0515698,0
